organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date
kde, tokodon, https://github.com/KDE/tokodon.git,10,193,14, C++,58.8, false,2021-05-29,2022-05-19
kde, qmlkonsole, https://github.com/KDE/qmlkonsole.git,3,152,13, QML,70.8, false,2018-09-04,2022-05-19
kde, ktrip, https://github.com/KDE/ktrip.git,8,355,13, QML,51.9, false,2019-12-30,2022-05-19
kde, koko, https://github.com/KDE/koko.git,9,756,26, QML,51.3, false,2014-12-18,2022-05-19
kde, kasts, https://github.com/KDE/kasts.git,6,855,20, C++,65.8, false,2020-11-29,2022-05-19
kde, kaidan, https://github.com/KDE/kaidan.git,13,1628,64, C++,66, false,2016-12-11,2022-05-19
kde, liquidshell, https://github.com/KDE/liquidshell.git,60,380,5, C++,97.3, false,2017-12-30,2022-05-19
kde, frameworkintegration, https://github.com/KDE/frameworkintegration.git,7,634,51, C++,75.7, false,2013-12-30,2022-05-19
kde, kwidgetsaddons, https://github.com/KDE/kwidgetsaddons.git,21,939,85, C++,95.8, false,1999-04-30,2022-05-14
kde, okular, https://github.com/KDE/okular.git,393,9726,235, C++,85.8, false,1997-12-12,2022-05-17
kde, rolisteam-diceparser, https://github.com/KDE/rolisteam-diceparser.git,1,1048,8, C++,95.3, false,2013-12-29,2022-05-18
kde, ktexteditor, https://github.com/KDE/ktexteditor.git,58,3405,149, C++,82.4, false,2014-12-31,2022-05-18
kde, elisa, https://github.com/KDE/elisa.git,205,2966,59, C++,87.7, false,2015-12-20,2022-05-18
kde, kdegraphics-mobipocket, https://github.com/KDE/kdegraphics-mobipocket.git,3,272,14, C++,89.3, false,2008-12-31,2022-05-18
kde, k3b, https://github.com/KDE/k3b.git,87,6778,97, C++,97.6, false,2001-12-18,2022-05-17
kde, flatpak-kde-applications, https://github.com/KDE/flatpak-kde-applications.git,31,749,47, Shell,66.6, false,2016-12-30,2022-05-04
kde, qmlonline, https://github.com/KDE/qmlonline.git,5,112,2, QML,62.8, false,2019-12-25,2022-05-17
kde, kpublictransport, https://github.com/KDE/kpublictransport.git,7,2014,14, C++,92.2, false,2019-12-31,2022-05-18
kde, prison, https://github.com/KDE/prison.git,16,377,23, C++,89, false,2010-08-04,2022-05-18
kde, isoimagewriter, https://github.com/KDE/isoimagewriter.git,13,369,13, C++,83.4, false,2013-07-09,2022-05-18
kde, kdeclarative, https://github.com/KDE/kdeclarative.git,17,1001,86, C++,79.6, false,2013-12-20,2022-05-18
kde, gcompris, https://github.com/KDE/gcompris.git,24,5801,101, QML,55.2, false,2013-12-31,2022-05-18
kde, kdesrc-build, https://github.com/KDE/kdesrc-build.git,21,2492,91, Perl,74.2, false,2004-12-16,2022-05-18
kde, kio-extras, https://github.com/KDE/kio-extras.git,21,7240,207, C++,76.8, false,1997-12-20,2022-05-18
kde, xdg-portal-test-kde, https://github.com/KDE/xdg-portal-test-kde.git,2,69,9, C++,93.8, false,2016-12-12,2022-05-18
kde, homebrew-kde, https://github.com/KDE/homebrew-kde.git,7,1075,33, Ruby,89.8, false,2014-12-28,2022-05-18
kde, craft, https://github.com/KDE/craft.git,49,13330,86, Python,96.4, false,2008-12-31,2022-05-17
kde, messagelib, https://github.com/KDE/messagelib.git,9,6546,42, C++,90.2, false,2015-12-31,2022-05-18
kde, plasma-pass, https://github.com/KDE/plasma-pass.git,20,160,8, C++,70.9, false,2018-12-18,2022-05-18
kde, kdepim-runtime, https://github.com/KDE/kdepim-runtime.git,11,15522,155, C++,95.6, false,2002-12-27,2022-05-18
kde, ktp-accounts-kcm, https://github.com/KDE/ktp-accounts-kcm.git,5,1212,45, C++,82.6, false,2009-12-15,2022-05-18
kde, kopete, https://github.com/KDE/kopete.git,20,16426,179, C++,94.9, false,2002-12-31,2022-05-18
kde, lskat, https://github.com/KDE/lskat.git,4,849,57, C++,98, false,2000-12-19,2022-05-18
kde, kipi-plugins, https://github.com/KDE/kipi-plugins.git,16,12089,92, C++,90.7, false,2004-12-28,2022-05-18
kde, mangonel, https://github.com/KDE/mangonel.git,4,288,7, C++,57.7, false,2010-12-29,2022-05-18
kde, snorenotify, https://github.com/KDE/snorenotify.git,126,1116,13, C++,89.1, false,2010-12-31,2022-05-18
kde, cutehmi, https://github.com/KDE/cutehmi.git,6,2157,5, C++,70, false,2015-11-27,2022-05-17
