organization,repository_name,clone_url,number_stars,number_commits,number_contributors,main_language,main_language_%_code,is_fork,created_year_date,pushed_date,cloning_error
kde, kmbox,https://github.com/KDE/kmbox.git,5,596,21, C++,80.6, false,2009-12-29,2022-05-16,FALSE
kde, kidentitymanagement,https://github.com/KDE/kidentitymanagement.git,5,3888,82, C++,92.3, false,1999-12-27,2022-05-16,FALSE
kde, kapptemplate,https://github.com/KDE/kapptemplate.git,5,990,38, C++,84.8, false,2008-12-31,2022-05-15,FALSE
kde, kwordquiz,https://github.com/KDE/kwordquiz.git,5,1179,54, C++,95.7, false,2004-12-29,2022-05-14,FALSE
kde, kreport,https://github.com/KDE/kreport.git,5,1519,44, C++,91.3, false,2008-12-29,2022-05-13,FALSE
kde, kubrick,https://github.com/KDE/kubrick.git,5,404,27, C++,96.6, false,2008-12-22,2022-05-13,FALSE
kde, ktp-contact-list,https://github.com/KDE/ktp-contact-list.git,5,1090,57, C++,98.3, false,2010-11-09,2022-03-12,FALSE
kde, libkmahjongg,https://github.com/KDE/libkmahjongg.git,5,480,26, C++,81.9, false,2006-12-12,2022-05-02,FALSE
kde, ksquares,https://github.com/KDE/ksquares.git,5,556,33, C++,95.7, false,2006-12-31,2022-05-07,FALSE
kde, kiriki,https://github.com/KDE/kiriki.git,5,450,34, C++,95.6, false,2005-12-22,2022-05-07,FALSE
kde, kfloppy,https://github.com/KDE/kfloppy.git,5,793,42, C++,92.3, false,1997-11-27,2022-05-07,FALSE
kde, kanagram,https://github.com/KDE/kanagram.git,5,1309,51, C++,58.1, false,2005-12-27,2022-05-07,FALSE
kde, blinken,https://github.com/KDE/blinken.git,5,666,36, C++,94.1, false,2005-12-27,2022-05-07,FALSE
kde, kjots,https://github.com/KDE/kjots.git,5,999,38, C++,93.9, false,2005-12-21,2022-04-30,FALSE
kde, kst-plot,https://github.com/KDE/kst-plot.git,5,3435,17, C++,85.1, false,2007-12-18,2022-04-01,FALSE
kde, phonon-gstreamer,https://github.com/KDE/phonon-gstreamer.git,5,3299,61, C++,90.6, false,2008-12-30,2021-11-19,FALSE
kde, akonadi-calendar,https://github.com/KDE/akonadi-calendar.git,4,2110,38, C++,98, false,1999-04-11,2022-05-18,FALSE
kde, lskat,https://github.com/KDE/lskat.git,4,849,57, C++,98, false,2000-12-19,2022-05-18,FALSE
kde, mangonel,https://github.com/KDE/mangonel.git,4,288,7, C++,57.7, false,2010-12-29,2022-05-18,FALSE
kde, kontactinterface,https://github.com/KDE/kontactinterface.git,4,685,19, C++,87.1, false,2008-12-31,2022-05-16,FALSE
kde, kmime,https://github.com/KDE/kmime.git,4,1513,50, C++,97.5, false,2001-12-13,2022-05-16,FALSE
kde, kcalutils,https://github.com/KDE/kcalutils.git,4,964,26, C++,64.6, false,2010-12-05,2022-05-16,FALSE
kde, akonadiconsole,https://github.com/KDE/akonadiconsole.git,4,1588,47, C++,96.2, false,2006-12-21,2022-05-16,FALSE
kde, akonadi-calendar-tools,https://github.com/KDE/akonadi-calendar-tools.git,4,951,39, C++,90.6, false,2005-12-31,2022-05-16,FALSE
kde, ktp-approver,https://github.com/KDE/ktp-approver.git,4,302,15, C++,90, false,2010-12-09,2022-05-15,FALSE
